step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,5.16713,0.26667,2.47191,0.33333
2,2.66092,0.33333,3.30709,0.35294
3,2.47896,0.63636,3.06998,0.18182
4,0.98539,0.86667,3.60094,0.26667
5,2.51076,0.34783,1.29299,0.44444
6,4.45516,0.41667,2.31399,0.5
7,2.39789,0.6,1.47685,0.61111
8,2.9019,0.64516,2.09229,0.6
9,1.60771,0.66667,1.46844,0.47059
10,1.19503,0.83333,0.98308,0.69231
11,2.8943,0.58824,0.27716,0.77778
12,1.39747,0.63636,2.29125,0.52941
13,1.19251,0.66667,1.12208,0.54545
14,2.09115,0.54573,2.56264,0.46667
15,3.42901,0.38889,0.17515,0.77778
16,1.09162,0.84615,1.27012,0.6
17,1.0474,0.80952,1.01086,0.72222
18,1.21821,0.64706,1.71861,0.6
19,1.18981,0.8,1.18994,0.5
20,2.27923,0.69231,0.76785,0.76923
21,0.6023,0.86702,0.18684,0.77778
22,2.12786,0.66667,2.25294,0.52941
23,1.13986,0.66667,1.12234,0.45455
24,0.46035,0.90323,2.35988,0.46667
25,1.04554,0.8,0.22061,0.77778
26,0.93124,0.83333,1.14165,0.6
27,1.11004,0.77273,0.92321,0.72222
28,0.63369,0.87963,1.68022,0.6
29,1.74886,0.64286,1.06041,0.5
30,1.41815,0.77778,0.80698,0.76923
31,2.61754,0.53846,0.19753,0.77778
32,0.11037,0.97196,2.25054,0.47059
33,0.71075,0.73333,1.18556,0.45455
34,4.30916,0.24561,2.32938,0.46667
35,0.61684,0.77778,0.24428,0.77778
36,1.90116,0.73333,1.10943,0.6
37,0.64081,0.75,0.90045,0.72222
38,0.33062,0.90909,1.63931,0.6
39,2.08299,0.54688,0.98464,0.5
40,1.38816,0.66667,0.75066,0.76923
41,3.74549,0.53846,0.18504,0.77778
42,0.69382,0.80893,2.25815,0.47059
43,1.54823,0.72727,1.16822,0.45455
44,0.87627,0.61538,2.28531,0.46667
45,0.81869,0.83333,0.20349,0.77778
46,1.94149,0.52381,1.08469,0.6
47,1.15375,0.8,0.90065,0.72222
48,2.60141,0.61111,1.63274,0.6
49,2.53462,0.57895,1.00568,0.5
50,0.246,0.95798,0.73594,0.76923
51,3.50216,0.40541,0.16007,0.77778
52,0.72943,0.8,2.24189,0.47059
